"2025–26 ISIR Record Layout 
575,N/A ,3956,3957,2,None,Electronic Federal School Code Indicator Identifies which school listed in ISIR fields initiated this transaction. ,"1 = Federal school code #1 
2 = Federal school code #2 
3 = Federal school code #3 
4 = Federal school code #4 
5 = Federal school code #5 
6 = Federal school code #6 
7 = Federal school code #7 
8 = Federal school code #8 
9 = Federal school code #9 
10 = Federal school code #10
11 = Federal school code #11 
12 = Federal school code #12 
13 = Federal school code #13 
14 = Federal school code #14 
15 = Federal school code #15 
16 = Federal school code #16 
17 = Federal school code #17 
18 = Federal school code #18 
19 = Federal school code #19 
20 = Federal school code #20 
Blank = Always blank on school and servicer ISIRs; for state agencies, no federal school code ",
576,N/A ,3958,4067,110,None,Reject Reason Codes ,"Uppercase letters A to Z 
Numbers 1 to 99
Blank = Applicant not rejected",
577,N/A ,4068,4068,1,None,Electronic Transaction Indicator (ETI) Flag,"1 = School did not generate transaction, receives ISIR daily
2 = School generated, receives ISIR daily
3 = School did not generate transaction, ISIR pushed
4 = School generated transaction, ISIR pushed 
5 = School did not generate transaction, FPS system generated 
6 = School generated, ISIR request school
7 = School did not generate, ISIR Request school
A = State Resident, receives ISIRs daily
B = Non-Resident, receives ISIRs daily
C = State Resident, ISIR Pushed
D = Non-Resident, ISIR Pushed
E = State Resident, ISIR Request State
F = Non-Resident, ISIR Request State
Blank = School or state is not found or not participating",
578,N/A ,4069,4069,1,None,Student Last Name/ SSN Change Flag,"N = Last name change
S = Social Security number change
B = Social Security number and last name change
Blank = No change",
579,N/A,4070,4081,12,None,High School Code,"Alphanumeric
0 to 9
Uppercase and lowercase A to Z
Blank",
580,N/A,4082,4082,1,None,Verification Selection Change Flag,"Y = Selected for verification on this transaction, not selected for verification on any previous non-rejected transaction
C = Selected for verification on this transaction, Verification Tracking Flag is not equal to Verification Tracking Flag on transaction being corrected
Blank",
581,N/A ,4083,4087,5,None,Use User Provided Data Only,"True
False
Blank",
582,N/A ,4088,4448,361,None,Filler,For Federal Student Aid use only,
NSLDS Information ,,,,,,,,
583,N/A ,4449,4449,1,None,NSLDS Pell Overpayment Flag,"D = Deferred
N = N/A
S = Satisfactory payment arrangements
F = Fraud
Y = Overpayment
Blank",
584,N/A ,4450,4457,8,None,NSLDS Pell Overpayment Contact,"Numeric school code or region code
N/A
Y (more than one)
Blank",
585,N/A ,4458,4458,1,None,NSLDS FSEOG Overpayment Flag,"D = Deferred
N = N/A
S = Satisfactory payment arrangements
F = Fraud
Y = Overpayment
Blank",
586,N/A ,4459,4466,8,None,NSLDS FSEOG Overpayment Contact,"Numeric school code or region code
N/A
Y (more than one)
Blank",
587,N/A ,4467,4467,1,None,NSLDS Perkins Overpayment Flag,"D = Deferred
N = N/A
S = Satisfactory payment arrangements
F = Fraud
Y = Overpayment
Blank",
588,N/A ,4468,4475,8,None,NSLDS Perkins Overpayment Contact,"Numeric school code or region code
N/A
Y (more than one)
Blank",
589,N/A,4476,4476,1,None,NSLDS TEACH Grant Overpayment Flag,"D = Deferred
N = N/A
S = Satisfactory payment arrangements
F = Fraud
Y = Overpayment
Blank",
590,N/A,4477,4484,8,None,NSLDS TEACH Grant Overpayment Contact,"Numeric school code or region code
N/A
Y (more than one)
Blank",
591,N/A,4485,4485,1,None,NSLDS Iraq and Afghanistan Service Grant Overpayment Flag ,"D = Deferred
N = N/A
S = Satisfactory payment arrangements
F = Fraud
Y = Overpayment
Blank",
592,N/A,4486,4493,8,None,NSLDS Iraq and Afghanistan Service Grant Overpayment Contact,"Numeric school code or region code
N/A
Y (more than one)
Blank",
593,N/A,4494,4494,1,None,NSLDS Defaulted Loan Flag,"Y = Yes 
N = No
Blank",
594,N/A,4495,4495,1,None,NSLDS Discharged Loan Flag,"D = Death
N = None
P = Permanent
Blank",
595,N/A,4496,4496,1,None,NSLDS Fraud Loan Flag,"Y = Yes 
N = No
Blank = Record not sent for match",
596,N/A,4497,4497,1,None,NSLDS Satisfactory Arrangements Flag,"Y = Yes 
N = No
Blank",
597,N/A,4498,4498,1,None,NSLDS Active Bankruptcy Flag,"Y = Yes 
N = No
Blank",
598,N/A,4499,4499,1,None,NSLDS TEACH Grant Loan Convertedd to Loan Flag,"Y = Yes 
N = No
Blank",
599,N/A,4500,4505,6,None,NSLDS Aggregate Subsidized Outstanding Principal Balance,"Numeric
N/A
Blank",
600,N/A,4506,4511,6,None,NSLDS Aggregate Unsubsidized Outstanding Principal Balance,"Numeric
N/A
Blank",
601,N/A,4512,4517,6,None,NSLDS Aggregate Combined Outstanding Principal Balance,"Numeric
N/A
Blank",
602,N/A,4518,4523,6,None,NSLDS Aggregate Unallocated Consolidated Outstanding Principal Balance,"Numeric
N/A
Blank",
603,N/A,4524,4529,6,None,NSLDS Aggregate TEACH Loan Principal Balance,"Numeric
N/A
Blank",
604,N/A,4530,4535,6,None,NSLDS Aggregate Subsidized Pending Disbursement,"Numeric
N/A
Blank",
605,N/A,4536,4541,6,None,NSLDS Aggregate Unsubsidized Pending Disbursement,"Numeric
N/A
Blank",
606,N/A,4542,4547,6,None,NSLDS Aggregate Combined Pending Disbursement,"Numeric
N/A
Blank",
607,N/A,4548,4553,6,None,NSLDS Aggregate Subsidized Total,"Numeric
N/A
Blank",
608,N/A,4554,4559,6,None,NSLDS Aggregate Unsubsidized Total,"Numeric
N/A
Blank",
609,N/A,4560,4565,6,None,NSLDS Aggregate Combined Total,"Numeric
N/A
Blank",
610,N/A,4566,4571,6,None,NSLDS Unallocated Consolidated Total,"Numeric
N/A
Blank",
611,N/A,4572,4577,6,None,NSLDS TEACH Loan Total,"Numeric
N/A
Blank",
612,N/A,4578,4583,6,None,NSLDS Perkins Total Disbursements ,"Numeric
N/A
Blank",
613,N/A,4584,4589,6,None,NSLDS Perkins Current Year Disbursement Amount,"Numeric
N/A
Blank",
614,N/A,4590,4595,6,None,NSLDS Aggregate TEACH Grant Undergraduate Disbursed Total,"Numeric
N/A
Blank",
615,N/A,4596,4601,6,None,NSLDS Aggregate TEACH Graduate Disbursement Amount,"Numeric
N/A
Blank",
616,N/A,4602,4602,1,None,NSLDS Defaulted Loan Change Flag,"# = Changed
N = Did not change
Blank",
617,N/A,4603,4603,1,None,NSLDS Fraud Loan Change Flag,"# = Changed
N = Did not change
Blank",
618,N/A,4604,4604,1,None,NSLDS Discharged Loan Change Flag,"# = Changed
N = Did not change
Blank",
619,N/A,4605,4605,1,None,NSLDS Loan Satisfactory Repayment Change Flag,"# = Changed
N = Did not change
Blank",
620,N/A,4606,4606,1,None,NSLDS Active Bankruptcy Change Flag,"# = Changed
N = Did not change
Blank",
621,N/A,4607,4607,1,None,NSLDS TEACH Grant to Loan Conversion Change Flag,"# = Changed
N = Did not change
Blank",
622,N/A,4608,4608,1,None,NSLDS Overpayments Change Flag,"# = Changed
N = Did not change
Blank",
623,N/A,4609,4609,1,None,NSLDS Aggregate Loan Change Flag,"# = Changed
N = Did not change
Blank",
624,N/A,4610,4610,1,None,NSLDS Perkins Loan Change Flag,"# = Changed
N = Did not change
Blank",
625,N/A,4611,4611,1,None,NSLDS Pell Payment Change Flag,"# = Changed
N = Did not change
Blank",
626,N/A,4612,4612,1,None,NSLDS TEACH Grant Change Flag,"# = Changed
N = Did not change
Blank",
627,N/A,4613,4613,1,None,NSLDS Additional Pell Flag,"Y = Yes 
N = No
Blank",
628,N/A,4614,4614,1,None,NSLDS Additional Loans Flag,"Y = Yes 
N = No
Blank",
629,N/A,4615,4615,1,None,NSLDS Additional TEACH Grant Flag,"Y = Yes 
N = No
Blank",
630,N/A,4616,4616,1,None,NSLDS Direct Loan Master Prom Note Flag,"A = Active
C = Closed
I = Inactive
N = No Master Promissory Note on file
Blank = No data from NSLDS",
631,N/A,4617,4617,1,None,"NSLDS Direct Loan PLUS Master Prom Note Flag

This flag indicates the status of the Master Promissory Note for the parent who has borrowed a PLUS loan on behalf of this student.","A = Active
C = Closed
E = Inactive due to the linking of a PLUS Loan with an endorser
I = Inactive
N = No Master Promissory Note on file
Blank = No data from NSLDS",
632,N/A,4618,4618,1,None,"NSLDS Direct Loan Graduate PLUS Master Prom Note Flag

This flag indicates the status of the Master Promissory Note for the graduate student who has borrowed a PLUS loan.","A = Active
C = Closed
E = Inactive due to the linking of a PLUS Loan with an endorser
I = Inactive
N = No Master Promissory Note on file
Blank = No data from NSLDS",
633,N/A,4619,4619,1,None,NSLDS Undergraduate Subsidized Loan Limit Flag,"C = Close to or equal to limit
E = Exceeded limit
N = No problem
R = Exceeded loan limit and reaffirmed debt
Blank",
634,N/A,4620,4620,1,None,NSLDS Undergraduate Combined Loan Limit Flag,"C = Close to or equal to limit
E = Exceeded limit
N = No problem
R = Exceeded loan limit and reaffirmed debt
Blank",
635,N/A,4621,4621,1,None,NSLDS Graduate Subsidized Loan Limit Flag,"C = Close to or equal to limit
E = Exceeded limit
N = No problem
R = Exceeded loan limit and reaffirmed debt
Blank",
636,N/A,4622,4622,1,None,NSLDS Graduate Combined Loan Limit Flag,"C = Close to or equal to limit
E = Exceeded limit
N = No problem
R = Exceeded loan limit and reaffirmed debt
Blank",
637,N/A,4623,4623,1,None,NSLDS Pell Lifetime Limit Flag,"C = Close to Pell limit
E = Met or Exceeded Pell limit
H = High Pell percent
N = No problem 
Blank",
638,N/A,4624,4630,7,None,NSLDS Pell Lifetime Eligibility Used,"Numeric
Format is 99v99999
Blank
“v” is an implied decimal and is not included in the output.
Example: 01.00000 is 0100.000%",
639,N/A,4631,4631,1,None,NSLDS SULA Flag,"Y = Yes 
N = No
Blank",
640,N/A,4632,4637,6,None,NSLDS Subsidized Limit Eligiblity Used,"Numeric
Format is 999v999
Blank
“v” is an implied decimal and is not included in the output",
641,N/A,4638,4638,1,None,NSLDS Unusual Enrollment History Flag,"2 = Possible enrollment pattern problem, school may need to resolve
3 = Questionable enrollment pattern, school must resolve
N = Enrollment pattern not unusual, no school action required
Blank = Record not sent for match",
642,N/A,4639,4658,20,None,Filler,For Federal Student Aid use only,
643,N/A,4659,4660,2,None,NSLDS Pell Sequence Number (1),"01 to 03
Blank",
644,N/A,4661,4663,3,None,NSLDS Pell Verification Flag (1),"Alpha
N/A
Blank",
645,N/A,4664,4669,6,None,NSLDS SAI (1),"-1500 to 999999
N/A 
Blank",
646,N/A,4670,4677,8,None,NSLDS Pell School Code (1),"Numeric
N/A
Blank",
647,N/A,4678,4679,2,None,NSLDS Pell Transaction Number (1),"Numeric
Blank",
648,N/A,4680,4687,8,None,NSLDS Pell Disbursement Date (1),"Numeric (CCYYMMDD)
N/A
Blank",
649,N/A,4688,4693,6,None,"NSLDS Pell Scheduled Amount (1)
Whole dollar amount with leading zeros.","Numeric
Blank",
650,N/A,4694,4699,6,None,"NSLDS Pell Amount Paid to Date (1)

Whole dollar amount with leading zeros","Numeric
Blank",
651,N/A,4700,4706,7,None,"NSLDS Pell Percent Eligibility Used Decimal (1)
Percent with four decimal places assumed for example, 50% - 0500000.","Numeric
Blank",
652,N/A,4707,4712,6,None,"NSLDS Pell Award Amount (1)
Whole dollar amount with leading zeros.","Numeric
Blank",
653,N/A,4713,4713,1,None,NSLDS Additional Eligibility Indicator (1),"Y = Yes 
N = No
Blank",
654,N/A,4714,4733,20,None,Filler,For Federal Student Aid use only,
655,N/A,4734,4735,2,None,NSLDS Pell Sequence Number (2),"01 to 03
Blank",
656,N/A,4736,4738,3,None,NSLDS Pell Verification Flag (2),"Alpha
N/A
Blank",
657,N/A,4739,4744,6,None,NSLDS SAI (2),"-1500 to 999999
N/A 
Blank",
658,N/A,4745,4752,8,None,NSLDS Pell School Code (2),"Numeric
N/A
Blank",
659,N/A,4753,4754,2,None,NSLDS Pell Transaction Number (2),"Numeric
Blank",
660,N/A,4755,4762,8,None,NSLDS Pell Last Disbursement Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
661,N/A,4763,4768,6,None,"NSLDS Pell Scheduled Amount (2)
Whole dollar amount with leading zeros.","Numeric
Blank",
662,N/A,4769,4774,6,None,"NSLDS Pell Amount Paid to Date (2)

Whole dollar amount with leading zeros","Numeric
Blank",
663,N/A,4775,4781,7,None,"NSLDS Pell Percent Eligibility Used Decimal (2)
Percent with four decimal places assumed for example, 50% - 0500000.","Numeric
Blank",
664,N/A,4782,4787,6,None,"NSLDS Pell Award Amount (2)
Whole dollar amount with leading zeros.","Numeric
Blank",
665,N/A,4788,4788,1,None,NSLDS Additional Eligibility Indicator (2),"Y or N
Blank",
666,N/A,4789,4808,20,None,Filler,For Federal Student Aid use only,
667,N/A,4809,4810,2,None,NSLDS Pell Sequence Number (3),"01 to 03
Blank",
668,N/A,4811,4813,3,None,NSLDS Pell Verification Flag (3),"Alpha
N/A
Blank",
669,N/A,4814,4819,6,None,NSLDS SAI (3),"-1500 to 999999
N/A 
Blank",
670,N/A,4820,4827,8,None,NSLDS Pell School Code (3),"Numeric
N/A
Blank",
671,N/A,4828,4829,2,None,NSLDS Pell Transaction Number (3),"Numeric
Blank",
672,N/A,4830,4837,8,None,NSLDS Pell Last Disbursement Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
673,N/A,4838,4843,6,None,"NSLDS Pell Scheduled Amount (3)

Whole dollar amount with leading zeros.","Numeric
Blank",
674,N/A,4844,4849,6,None,"NSLDS Pell Amount Paid to Date (3)

Whole dollar amount with leading zeros","Numeric
Blank",
675,N/A,4850,4856,7,None,"NSLDS Pell Percent Eligibility Used Decimal (3)

Percent with four decimal places assumed for example, 50% - 0500000.","Numeric
Blank",
676,N/A,4857,4862,6,None,"NSLDS Pell Award Amount (3)

Whole dollar amount with leading zeros.","Numeric
Blank",
677,N/A,4863,4863,1,None,NSLDS Additional Eligibility Indicator (3),"Y = Yes 
N = No
Blank",
678,N/A,4864,4883,20,None,Filler,For Federal Student Aid use only,
679,N/A,4884,4885,2,None,NSLDS TEACH Grant Sequence (1),"01 to 03
Blank",
680,N/A,4886,4893,8,None,NSLDS TEACH Grant School Code (1),"Numeric
Blank",
681,N/A,4894,4895,2,None,NSLDS TEACH Grant Transaction Number (1),"Numeric
Blank",
682,N/A,4896,4903,8,None,NSLDS TEACH Grant Last Disbursement Date (1),"Numeric (CCYYMMDD)
N/A
Blank",
683,N/A,4904,4909,6,None,"NSLDS TEACH Grant Scheduled Amount (1)

Whole dollar amount with leading zeros.","Numeric
Blank",
684,N/A,4910,4915,6,None,"NSLDS TEACH Grant Amount Paid to Date (1)

Whole dollar amount with leading zeros.","Numeric
Blank",
685,N/A,4916,4921,6,None,"NSLDS TEACH Grant Award Amount (1)

Whole dollar amount with leading zeros.","Numeric
Blank",
686,N/A,4922,4922,1,None,NSLDS TEACH Grant Academic Year Level (1),"Numeric
Blank",
687,N/A,4923,4926,4,None,NSLDS TEACH Grant Award Year (1),"Numeric
Blank",
688,N/A,4927,4927,1,None,NSLDS TEACH Grant Loan Conversion Flag (1),"Y = Yes 
N = No
Blank",
689,N/A,4928,4931,4,None,NSLDS TEACH Grant Discharge Code (1),"HC02 = Coronavirus
N/A
Blank",
690,N/A,4932,4937,6,None,NSLDS TEACH Grant Discharge Amount (1),"000000 to 999999
N/A
Blank",
691,N/A,4938,4943,6,None,NSLDS-TEACH Grant Adjusted Disbursement (1),"000000 to 999999
N/A
Blank",
692,N/A,4944,4963,20,None,Filler,For Federal Student Aid use only,
693,N/A,4964,4965,2,None,NSLDS TEACH Grant Sequence (2),"01 to 03
Blank",
694,N/A,4966,4973,8,None,NSLDS TEACH Grant School Code (2),"Numeric
Blank",
695,N/A,4974,4975,2,None,NSLDS TEACH Grant Transaction Number (2),"Numeric
Blank",
696,N/A,4976,4983,8,None,NSLDS TEACH Grant Last Disbursement Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
697,N/A,4984,4989,6,None,NSLDS TEACH Grant Scheduled Amount (2),"Numeric
Blank",
698,N/A,4990,4995,6,None,NSLDS TEACH Grant Amount Paid to Date (2),"Numeric
Blank",
699,N/A,4996,5001,6,None,NSLDS TEACH Grant Award Amount (2),"Numeric
Blank",
700,N/A,5002,5002,1,None,NSLDS TEACH Grant Academic Year Level (2),"Numeric
Blank",
701,N/A,5003,5006,4,None,NSLDS TEACH Grant Award Year (2),"Numeric
Blank",
702,N/A,5007,5007,1,None,NSLDS TEACH Grant Loan Conversion Flag (2),"Y = Yes 
N = No
Blank",
703,N/A,5008,5011,4,None,NSLDS TEACH Grant Discharge Code (2),"HC02 = Coronavirus
N/A
Blank",
704,N/A,5012,5017,6,None,NSLDS TEACH Grant Discharge Amount (2),"000000 to 999999
N/A
Blank",
705,N/A,5018,5023,6,None,NSLDS-TEACH Grant Adjusted Disbursement (2),"000000 to 999999
N/A
Blank",
706,N/A,5024,5043,20,None,Filler,For Federal Student Aid use only,
707,N/A,5044,5045,2,None,NSLDS TEACH Grant Sequence (3),"01 to 03
Blank",
708,N/A,5046,5053,8,None,NSLDS TEACH Grant School Code (3),"Numeric
Blank",
709,N/A,5054,5055,2,None,NSLDS TEACH Grant Transaction Number (3),"Numeric
Blank",
710,N/A,5056,5063,8,None,NSLDS TEACH Grant Last Disbursement Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
711,N/A,5064,5069,6,None,NSLDS TEACH Grant Scheduled Amount (3),"Numeric
Blank",
712,N/A,5070,5075,6,None,NSLDS TEACH Grant Amount Paid to Date (3),"Numeric
Blank",
713,N/A,5076,5081,6,None,NSLDS TEACH Grant Award Amount (3),"Numeric
Blank",
714,N/A,5082,5082,1,None,NSLDS TEACH Grant Academic Year Level (3),"Numeric
Blank",
715,N/A,5083,5086,4,None,NSLDS TEACH Grant Award Year (3),"Numeric
Blank",
716,N/A,5087,5087,1,None,NSLDS TEACH Grant Loan Conversion Flag (3),"Y = Yes 
N = No
Blank",
717,N/A,5088,5091,4,None,NSLDS TEACH Grant Discharge Code (3),"HC02 = Coronavirus
N/A
Blank",
718,N/A,5092,5097,6,None,NSLDS TEACH Grant Discharge Amount (3),"000000 to 999999
N/A
Blank",
719,N/A,5098,5103,6,None,NSLDS-TEACH Grant Adjusted Disbursement (3),"000000 to 999999
N/A
Blank",
720,N/A,5104,5123,20,None,Filler,For Federal Student Aid use only,
721,N/A,5124,5125,2,None,NSLDS Loan Sequence Number (1),"01 to 06
Blank",
722,N/A,5126,5126,1,None,NSLDS Loan Defaulted Recent Indicator (1),"D = Defaulted
R = Recent
T = Discharged
F = Fraud
Blank",
723,N/A,5127,5127,1,None,NSLDS Loan Change Flag (1) ,"# = Changed
N = Did not change
Blank",
724,N/A,5128,5129,2,None,NSLDS Loan Type Code (1) ,"Alpha Code
Blank

See “NSLDS Loan Program Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
725,N/A,5130,5135,6,None,NSLDS Loan Net Amount (1) ,"000000 to 999999
Blank",
726,N/A,5136,5137,2,None,NSLDS Loan Current Status Code (1) ,"Alpha Code
Blank

See “NSLDS Loan Current Status Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
727,N/A,5138,5145,8,None,NSLDS Loan Current Status Date (1) ,"Format is CCYYMMDD
N/A
Blank",
728,N/A,5146,5151,6,None,NSLDS Loan Outstanding Principal Balance (1) ,"000000 to 999999
N/A
Blank",
729,N/A,5152,5159,8,None,NSLDS Loan Outstanding Principal Balance Date (1) ,"Numeric (CCYYMMDD)
N/A
Blank",
730,N/A,5160,5167,8,None,NSLDS Loan Period Begin Date (1) ,"Numeric (CCYYMMDD)
N/A
Blank",
731,N/A,5168,5175,8,None,NSLDS Loan Period End Date (1) ,"Numeric (CCYYMMDD)
N/A
Blank",
732,N/A,5176,5178,3,None,NSLDS Loan Guaranty (1) Agency Code,"Numeric
N/A
Blank",
733,N/A,5179,5181,3,None,NSLDS Loan Contact Type (1) ,"SCH = School
LEN = Lender
EDR = ED region
GA = Guaranty agency or federal loan servicer
LNS = Lender servicer
DDP = Disability data provider
RDS = U.S. Department of Education
N/A
Blank",
734,N/A,5182,5189,8,None,NSLDS Loan School Code (1) ,"Alphanumeric
N/A
Blank",
735,N/A,5190,5197,8,None,NSLDS Loan Contact Code (1) ,"Alphanumeric
N/A
Blank",
736,N/A,5198,5200,3,None,NSLDS Loan Grade Level (1) ,"Alphanumeric
N/A
Blank",
737,N/A,5201,5201,1,None,NSLDS Loan Additional Unsubsidized Flag (1) ,"P = PLUS denial
H = Health professional
B = Both
N = Neither
Blank",
738,N/A,5202,5202,1,None,NSLDS Loan Capitalized Interest Flag (1) ,"Y = Yes 
N = No
Blank",
739,N/A,5203,5208,6,None,NSLDS Loan Disbursement Amount (1) ,"000000 to 999999
N/A
Blank",
740,N/A,5209,5216,8,None,NSLDS Loan Disbursement Date (1) ,"Numeric (CCYYMMDD)
N/A
Blank",
741,N/A,5217,5217,1,None,NSLDS Loan Confirmed Loan Subsidy Status (1) ,"L = Lost Subsidy
R = Reinstated Subsidy
N = Not Applicable
Blank",
742,N/A,5218,5225,8,None,NSLDS Loan Confirmed Loan Subsidy Status Date (1) ,"Numeric (CCYYMMDD)
N/A
Blank",
743,N/A,5226,5245,20,None,Filler,For Federal Student Aid use only,
744,N/A,5246,5247,2,None,NSLDS Loan Sequence Number (2) ,"01 to 06
Blank",
745,N/A,5248,5248,1,None,NSLDS Loan Defaulted Recent Indicator (2),"D = Defaulted
R = Recent
T = Discharged
F = Fraud
Blank",
746,N/A,5249,5249,1,None,NSLDS Loan Change Flag (2),"# = Changed
N = Did not change
Blank",
747,N/A,5250,5251,2,None,NSLDS Loan Type Code (2),"Alpha Code
Blank

See “NSLDS Loan Program Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
748,N/A,5252,5257,6,None,NSLDS Loan Net Amount (2),"000000 to 999999
Blank",
749,N/A,5258,5259,2,None,NSLDS Loan Current Status Code (2),"Alpha Code
Blank

See “NSLDS Loan Current Status Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
750,N/A,5260,5267,8,None,NSLDS Loan Current Status Date (2),"Format is CCYYMMDD
N/A
Blank",
751,N/A,5268,5273,6,None,NSLDS Loan Outstanding Principal Balance (2),"000000 to 999999
N/A
Blank",
752,N/A,5274,5281,8,None,NSLDS Loan Outstanding Principal Balance Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
753,N/A,5282,5289,8,None,NSLDS Loan Period Begin Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
754,N/A,5290,5297,8,None,NSLDS Loan Period End Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
755,N/A,5298,5300,3,None,NSLDS Loan Guaranty Agency Code (2),"Numeric
N/A
Blank",
756,N/A,5301,5303,3,None,NSLDS Loan Contact Type (2),"Alpha
N/A
Blank",
757,N/A,5304,5311,8,None,NSLDS Loan School Code (2),"Alphanumeric
N/A
Blank",
758,N/A,5312,5319,8,None,NSLDS Loan Contact Code (2),"Alphanumeric
N/A
Blank",
759,N/A,5320,5322,3,None,NSLDS Loan Grade Level (2),"Alphanumeric
N/A
Blank",
760,N/A,5323,5323,1,None,NSLDS Loan Additional Unsubsidized Flag (2),"P = PLUS denial
H = Health professional
B = Both
N = Neither
Blank",
761,N/A,5324,5324,1,None,NSLDS Loan Capitalized Interest Flag (2),"Y = Yes 
N = No
Blank",
762,N/A,5325,5330,6,None,NSLDS Loan Disbursement Amount (2),"000000 to 999999
N/A
Blank",
763,N/A,5331,5338,8,None,NSLDS Loan Disbursement Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
764,N/A,5339,5339,1,None,NSLDS Loan Confirmed Loan Subsidy Status (2),"L = Lost Subsidy
R = Reinstated Subsidy
N = Not Applicable
Blank",
765,N/A,5340,5347,8,None,NSLDS Loan Confirmed Loan Subsidy Status Date (2),"Numeric (CCYYMMDD)
N/A
Blank",
766,N/A,5348,5367,20,None,Filler,For Federal Student Aid use only,
767,N/A,5368,5369,2,None,NSLDS Loan Sequence Number (3),"01 to 06
Blank",
768,N/A,5370,5370,1,None,NSLDS Loan Defaulted Recent Indicator (3),"D = Defaulted
R = Recent
T = Discharged
F = Fraud
Blank",
769,N/A,5371,5371,1,None,NSLDS Loan Change Flag (3),"# = Changed
N = Did not change
Blank",
770,N/A,5372,5373,2,None,NSLDS Loan Type Code (3),"Alpha Code
Blank

See “NSLDS Loan Program Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
771,N/A,5374,5379,6,None,NSLDS Loan Net Amount (3),"000000 to 999999
Blank",
772,N/A,5380,5381,2,None,NSLDS Loan Current Status Code (3),"Alpha Code
Blank

See “NSLDS Loan Current Status Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
773,N/A,5382,5389,8,None,NSLDS Loan Current Status Date (3),"Format is CCYYMMDD
N/A
Blank",
774,N/A,5390,5395,6,None,NSLDS Loan Outstanding Principal Balance (3),"000000 to 999999
N/A
Blank",
775,N/A,5396,5403,8,None,NSLDS Loan Outstanding Principal Balance Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
776,N/A,5404,5411,8,None,NSLDS Loan Period Begin Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
777,N/A,5412,5419,8,None,NSLDS Loan Period End Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
778,N/A,5420,5422,3,None,NSLDS Loan Guaranty Agency Code (3),"Numeric
N/A
Blank",
779,N/A,5423,5425,3,None,NSLDS Loan Contact Type (3),"Alpha
N/A
Blank",
780,N/A,5426,5433,8,None,NSLDS Loan School Code (3),"Alphanumeric
N/A
Blank",
781,N/A,5434,5441,8,None,NSLDS Loan Contact Code (3),"Alphanumeric
N/A
Blank",
782,N/A,5442,5444,3,None,NSLDS Loan Grade Level (3),"Alphanumeric
N/A
Blank",
783,N/A,5445,5445,1,None,NSLDS Loan Additional Unsubsidized Flag (3),"P = PLUS denial
H = Health professional
B = Both
N = Neither
Blank",
784,N/A,5446,5446,1,None,NSLDS Loan Capitalized Interest Flag (3),"Y = Yes 
N = No
Blank",
785,N/A,5447,5452,6,None,NSLDS Loan Disbursement Amount (3),"000000 to 999999
N/A
Blank",
786,N/A,5453,5460,8,None,NSLDS Loan Disbursement Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
787,N/A,5461,5461,1,None,NSLDS Loan Confirmed Loan Subsidy Status (3),"L = Lost Subsidy
R = Reinstated Subsidy
N = Not Applicable
Blank",
788,N/A,5462,5469,8,None,NSLDS Loan Confirmed Loan Subsidy Status Date (3),"Numeric (CCYYMMDD)
N/A
Blank",
789,N/A,5470,5489,20,None,Filler,For Federal Student Aid use only,
790,N/A,5490,5491,2,None,NSLDS Loan Sequence Number (4),"01 to 06
Blank",
791,N/A,5492,5492,1,None,NSLDS Loan Defaulted Recent Indicator (4),"D = Defaulted
R = Recent
T = Discharged
F = Fraud
Blank",
792,N/A,5493,5493,1,None,NSLDS Loan Change Flag (4),"# = Changed
N = Did not change
Blank",
793,N/A,5494,5495,2,None,NSLDS Loan Type Code (4),"Alpha Code
Blank

See “NSLDS Loan Program Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
794,N/A,5496,5501,6,None,NSLDS Loan Net Amount (4),"000000 to 999999
Blank",
795,N/A,5502,5503,2,None,NSLDS Loan Current Status Code (4),"Alpha Code
Blank

See “NSLDS Loan Current Status Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
796,N/A,5504,5511,8,None,NSLDS Loan Current Status Date (4),"Format is CCYYMMDD
N/A
Blank",
797,N/A,5512,5517,6,None,NSLDS Loan Outstanding Principal Balance (4),"000000 to 999999
N/A
Blank",
798,N/A,5518,5525,8,None,NSLDS Loan Outstanding Principal Balance Date (4),"Numeric (CCYYMMDD)
N/A
Blank",
799,N/A,5526,5533,8,None,NSLDS Loan Period Begin Date (4),"Numeric (CCYYMMDD)
N/A
Blank",
